"","text","emotion","polarity"
"1","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"2","tags amp tw 
 fanfiction
 fantasy supranatural
 naration slow burn <U+0001F525>
 implied mental health issue
 bxbboyslo…","neutral","negative"
"3","its not a bad thing btw im failing my year bc of healthmental health issue and ended up realising that i wanted t…","sadness","negative"
"4","creationism is weird but its not quite so obviously a mental health issue","neutral","negative"
"5","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"6","did you seriously did you just pr is a difficult area and in paticular its very diff…","neutral","negative"
"7","thank you to our canadian friends by raising awareness about mental health and they’ll always be a time to addres…","neutral","positive"
"8","clearly there is a mental health issue going on here and she’s obviously not neurotypical so idk how i feel about p…","neutral","neutral"
"9","no this isn’t a mental health issue anymore than it’s a broken leg issuethey’re hateful and racistfull stop","anger","negative"
"10","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"11","i believe a key issue with destigmatizing mental health is equal coverage by insurance companies mental health ca…","neutral","positive"
"12","my parents have a bad case of ‘we had it worse than you so your feelings towards this are invalid and you’ve never…","sadness","negative"
"13","periodt y’all don’t know how to separate affection from attraction and that shit is just sad asf i know too man…","joy","positive"
"14","that’s why my question was why wasn’t this prevented by keeping up with his medication…","neutral","negative"
"15","study mental health is a bigger issue than covid itself for pr mentalhealth","neutral","positive"
"16","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"17","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"18","i don’t know what group youre in i amwith no preexisting conditions i am more lik…","neutral","positive"
"19","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"20","come on this hasn’t just been an issue since covid it’s been an issue foryears under the tories who have decim…","neutral","positive"
"21","good for them like i said your eithergenders and real science states that…","joy","positive"
"22","on the issue of treating schools like a magical infectionfree paradise where kids are oblivious to an unavoidable pandem…","joy","neutral"
"23","…","neutral","positive"
"24","…","neutral","positive"
"25","…","neutral","positive"
"26","…","neutral","positive"
"27","…","neutral","positive"
"28","a story of the very real issue of mental health in football","neutral","positive"
"29","i think you will find that virtually everybody in the world talks themself i bet even y…","neutral","positive"
"30","our newest issue looks at the impact of the pandemic on student wellbeing we spoke tochief execut…","neutral","positive"
"31","thats intersex its not transgender if you dont even know the differe…","neutral","positive"
"32","mental heathwhat about challenging each caller when they say that schools are closedschools…","neutral","negative"
"33","of women who commit crime have experienced domestic abuse and around half of women in prison have a mental health issue…","neutral","negative"
"34","these gun nuts are just horrific ppl i don’t have an issue with gun owne…","fear","neutral"
"35","houselessness isn’t the fucking issue these people need comprehensive mental health and addiction recovery res…","neutral","negative"
"36","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"37","sadly children’s mental health services have always been underfunded and therefore unable to meet increasing demand how h…","sadness","negative"
"38","dear
my sister has serious mental health issue she was completely not aware of what she is doing…","neutral","neutral"
"39","bellletstalk about how important it is to destigmatize men’s mental health and bring awareness to the issue","neutral","positive"
"40","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"41","bellletstalk about how important it is to destigmatize men’s mental health and bring awareness to the issue","neutral","positive"
"42","on the issue of treating schools like a magical infectionfree paradise where kids are oblivious to an unavoidable…","joy","positive"
"43","i pray for all of my friends’ stress mental health issueamp wtv problems would come at ease in any sooner <U+0001F498> <U+0001F614>","neutral","negative"
"44","too much complaints on odl issue brings you nowhere be the odds who focus on the solutions not the problems then…","neutral","negative"
"45","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"46","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"47","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"48","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"49","sadly children’s mental health services have always been underfunded and therefore unable to meet increasing demand how h…","sadness","negative"
"50","sadly children’s mental health services have always been underfunded and therefore unable to meet increasing demand…","sadness","negative"
"51","i have same issue i have read somewhere that mental health problems are also a cause of memory issues i…","neutral","negative"
"52","good point i’ve been thinking this myself i work with adolescents we often talk abo…","joy","positive"
"53","things needs to be understoodviolence against women needs to be taken more seriousmental he…","neutral","positive"
"54","mental health is a huge issue in rural and northern canada every share and view raises money to be put into canada’s men…","neutral","positive"
"55","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"56","i wouldn’t attribute this to any mental health issue sweet

i’d be more concerned if you went to w…","neutral","negative"
"57","i agree there’s a whole concept of recovery in mental health with a whole bunch of s…","neutral","positive"
