"","x"
"1","RT @Somesaylezzels: @HighStandards17 Oh I’m sorry, I’ll be quiet about the issues and all the research that shows our mental health system…"
"2","tags &amp; tw :
- fanfiction
- fantasy, supranatural
- naration, slow burn <U+0001F525>
- implied mental health issue
- bxb/boyslo… https://t.co/1Xe48dbXDF"
"3","Its not a bad thing btw, Im failing my year bc of health+mental health issue and ended up realising that I wanted t… https://t.co/7AInhf69X3"
"4","@TomMcClelland4 @ArmyTimes Creationism is weird, but it's not quite so obviously a mental health issue."
"5","RT @Somesaylezzels: @HighStandards17 Oh I’m sorry, I’ll be quiet about the issues and all the research that shows our mental health system…"
"6","RT @WayfarerMarine1: @mpiercy89 @seahawksPR Did you?... Seriously, did you just?... ""PR is a difficult area and in paticular it's very diff…"
"7","Thank you to our Canadian friends. By raising awareness about Mental Health. And they’ll always be a time to addres… https://t.co/wbDsnLavau"
"8","Clearly there is a mental health issue going on here and she’s obviously not neurotypical so idk how I feel about p… https://t.co/8mmZPkduv2"
"9","@ericsslater @mtgreenee No, this isn’t a mental health issue anymore than it’s a broken leg issue.  They’re hateful and racist.  Full stop"
"10","RT @Mochievous: Not sure how I feel about Chidi Anagonye being in the Bad Place because of his anxiety. I know it’s just tv but anxiety is…"
"11","I believe a key issue with de-stigmatizing mental health is equal coverage by insurance companies. Mental health ca… https://t.co/iQo2QdAqmD"
"12","my parents have a bad case of ‘we had it worse than you so your feelings towards this are invalid and you’ve never… https://t.co/6v8bwyaRVM"
"13","PERIODT!!! Y’all don’t know how to separate affection from attraction and that shit is just sad asf. I know too man… https://t.co/I4h3o7b3tQ"
"14","@VOfficial96 @ChadWheeler72 That’s why my question was why wasn’t this prevented by keeping up with his medication… https://t.co/SEazq9ZmG4"
"15","Study: Mental Health Is A Bigger Issue Than Covid Itself For PR #mentalhealth
https://t.co/ROXDZJKjmI"
"16","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"17","RT @Mochievous: Not sure how I feel about Chidi Anagonye being in the Bad Place because of his anxiety. I know it’s just tv but anxiety is…"
"18","@joannespike @RichardBurgon I don’t know what group youre in, I am 30 with no preexisting conditions. I am more lik… https://t.co/AZeM2s7NVV"
"19","RT @Mochievous: Not sure how I feel about Chidi Anagonye being in the Bad Place because of his anxiety. I know it’s just tv but anxiety is…"
"20","Come on this hasn’t just been an issue since covid. It’s been an issue for 11 years under the Tories who have decim… https://t.co/HSKCLRojRl"
"21","@WriterRaptor @Ianblackford_MP @theSNP good for them like i said your either 2 genders and real science states that… https://t.co/9sIBLGeVSX"
"22","RT @steevbishop: On the issue of treating schools like a magical, infection-free paradise where kids are oblivious to an unavoidable pandem…"
"23","@PeteWilliamsMSc @TraceyG_74 @safelives_ @MelaniMorganOBE @nadia_rana @SuptNaughton @NatMill81 @ChiefInspHowe… https://t.co/B7gAKypw2M"
"24","@PeteWilliamsMSc @Angela_962 @safelives_ @MelaniMorganOBE @nadia_rana @SuptNaughton @NatMill81 @TraceyG_74… https://t.co/8IHZtsBh7q"
